Number|Title|Author|InternetAddress|Rating|In stock|Comments|Publisher|Date of publication|ISBN|PullOut
179|Famine Foods of the Chiu-Huang Pen-ts'ao.|Reid. B. E.||5|1|A translation of an ancient Chinese book on edible wild foods. Fascinating.|Taipei. Southern Materials Centre|1977|-|0
180|Yunnan Camellias of China.|Kunming Inst. of Botany.||4|0|Lots of information and good photos.||||0
181|Meet Flora Mexicana.|Pesman. M. W.||3|0|Very readable flora but rather lacking botanically. A few notes on useful plants.|Dale S. King. Arizona.|1962|-|0
182|Ornamental Shrubs, Climbers and Bamboos.|Thomas. G. S.||3|1|Contains a wide range of plants with a brief description, mainly of their ornamental value but also usually of cultivation details and varieties.|Murray|1992|0-7195-5043-2|0
183|Cornucopia - A Source Book of Edible Plants.|Facciola. S.||5|1|Excellent. Contains a very wide range of conventional and unconventional food plants (including tropical) and where they can be obtained (mainly N. American nurseries but also research institutes and a lot of other nurseries from around the world.|Kampong Publications|1990|0-9628087-0-9|1
184|Shrubs.|Phillips. R. & Rix. M.||4|0|Excellent photographs and a terse description of 1900 species and cultivars.|Pan Books|1989|0-330-30258-2|0
185|Conifers in the British Isles.|Mitchell. A. F.||4|1|A bit out of date (first published in 1972), but an excellent guide to how well the various species of conifers grow in Britain giving locations of trees.|HMSO|1975|0-11-710012-9|0
186|Planting Native Trees and Shrubs.|Beckett. G. and K.||4|1|An excellent guide to native British trees and shrubs with lots of details about the plants.|Jarrold|1979|-|0
187|Perennials Volumes 1 and 2.|Phillips. R. & Rix. M.||4|1|Photographs of over 3,000 species and cultivars of ornamental plants together with brief cultivation notes, details of habitat etc.|Pan Books|1991|0-330-30936-9|0
188|The RHS Gardener's Encyclopedia of Plants and Flowers|Brickell. C.||3|1|Excellent range of photographs, some cultivation details but very little information on plant uses.|Dorling Kindersley Publishers Ltd.|1990|0-86318-386-7|0
189|Plant Fibres for Papermaking.|Bell. L. A.||4|0|A good practical section on how to make paper on a small scale plus details of about 75 species (quite a few of them tropical) that can be used.|Liliaceae Press|1988|-|0
190|The Dry Garden.|Chatto. B.||3|0|A good list of drought resistant plants with details on how to grow them.|Dent|1982|0460045512|0
191|Letter from Crarae Garden, March 1993.|||1|1|A list Nothofagus species growing at Crarae Garden in Scotland.|-|1993|-|0
192|Narcotic Plants|Emboden. W.||4|0|A lot of details about the history, chemistry and use of narcotic plants, including hallucinogens, stimulants, inebriants and hypnotics.|Studio Vista|1979|0-289-70864-8|0
193|Wild Food Plants of Australia.|Low. T.||4|1|Well presented, clear information and good photographs. An interesting read for the casual reader as well as the enthusiast|Angus and Robertson.|1989|0-207-14383-8|0
194|Wild Fruits of the Sub-Himalayan Region.|Parmar. C. and Kaushal. M.K.||4|0|Contains lots of information on about 25 species of fruit-bearing plants of the Himalayas, not all of them suitable for cool temperate zones.|Kalyani Publishers. New Delhi.|1982|-|0
195|The Book of Bamboo|Farrelly. D.||5|0|Very readable, giving lots of information on the uses of bamboos, both temperate and tropical.|Sierra Club.|1984|0-87156-825-X|0
196|Lost Crops of the Incas|Popenoe. H. et al||5|1|An excellent book. Very readable, with lots of information and good pictures of some lesser known food plants of S. America.|National Academy Press|1990|0-309-04264-X|0
197|Ground Cover Plants.|Royal Horticultural Society.||3|1|A handy little booklet from the R.H.S.|Cassells.|1989|0-304-31089-1|0
198|Journal of the Arnold Arboretum. Volume 32.|Li. H. L.||3|0|A monograph of the genus Actinidia.|Arnold Arboretum.|1952|-|0
199|Willows - The Genus Salix.|Newsholme. C.||4|0|A very readable book on the genus.|Batsford|1992|0713468815|0
200|The New RHS Dictionary of Gardening. 1992.|Huxley. A.||5|1|Excellent and very comprehensive, though it contains a number of silly mistakes. Readable yet also very detailed.|MacMillan Press|1992|0-333-47494-5|1
201|A - Z of Companion Planting.|Allardice.P.||3|0|A well produced and very readable book.|Cassell Publishers Ltd.|1993|0-304-34324-2|0
202|Climbers and Wall Shrubs.|Davis. B.||3|1|Contains information on 2,000 species and cultivars, giving details of cultivation requirements. The text is terse but informative.|Viking.|1990|0-670-82929-3|0
203|Alliums. The Ornamental Onions.|Davies. D.||4|1|Covers about 200 species of Alliums. A very short section on their uses, good details of their cultivation needs.|Batsford|1992|0-7134-7030-5|0
204|Flora of Canada|Livingstone. B.||2|0|In 4 volumes, it does not deal with plant uses but gives descriptions and habitats.|National Museums of Canada|1978|0-660-00025-3|0
205|Hemerocallis. Day Lilies.|Erhardt. W.||4|1|A comprehensive book on the species with a short section on their uses.|Batsford.|1992|0-7134-7065-8|0
206|Oriental Vegetables|Larkcom J.||4|1|Well written and very informative.|John Murray|1991|0-7195-4781-4|0
207|The History and Folklore of North American Wild Flowers.|Coffey. T.||3|1|A nice read, lots of information on plant uses.|Facts on File.|1993|0-8160-2624-6|0
208|Plants for Ground Cover|Thomas. G. S.||4|1|An excellent detailled book on the subject, very comprehensive.|J. M. Dent & Sons|1990|0-460-12609-1|0
209|Handbook of the Bach Flower Remedies|Chancellor. P. M.||3|1|Details the 38 remedies plus how and where to prescribe them.|C. W. Daniel Co. Ltd.|1985|85207 002 0|0
210|Aromatherapy - A guide for home use.|Westwood. C.||4|1|An excellent little pocket guide. Very concise.|Amberwood Publishing Ltd|1993|0-9517723-0-9|0
211|Wild Flowers of Kashmir|Coventry. B. O.||3|1|A nice little pocket guide to 50 wildflowers of Kashmir. This is part one of three, we have not seen the other two volumes|Raithby, Lawrence and Co.|1923|-|0
212|A Field Guide to Rocky Mountain Wildflowers|Craighead. J., Craighead. F. and Davis. R.||4|1|Excellent little pocket guide to the area, covering 590 species and often giving details of their uses.|The Riverside Press|1963|63-7093|0
213|Earth Medicine, Earth Food.|Weiner. M. A.||3|1|A nice book to read though it is difficult to look up individual plants since the book is divided into separate sections dealing with the different medicinal uses plus a section on edible plants. Common names are used instead of botanical.|Ballantine Books|1980|0-449-90589-6|0
214|The New Plantsman. Volume 1, 1994.|Matthews. V.||4|1|A quarterly magazine, it has articles on Himalayacalamus hookerianus, hardy Euphorbias and an excellent article on Hippophae spp.|Royal Horticultural Society|1994|1352-4186|0
215|The Natural History Programme 16th September 1994.|BBC||2|0|A report on the Natural History radio 4 programme about the value of Japanese knot weed to British wildlife.|BBC|1994|-|0
216|Ethnobotany of the Hopi|Whiting. A. F.||4|1|A very good guide the the plant uses of the N. American Hopi Indians.|North Arizona Society of Science and Art|1939|-|0
217|Les Salades Sauvages|Les Ecologistes de l'Euzière||3|1|A lovely little book about some wild salads in France. Written in French.|Not given.|1994|2-906128-04-X|0
218|Medicinal Plants of China|Duke. J. A. and Ayensu. E. S.||4|1|Details of over 1,200 medicinal plants of China and brief details of their uses. Often includes an analysis, or at least a list of constituents. Heavy going if you are not into the subject.|Reference Publications, Inc.|1985|0-917256-20-4|1
219|Gardening on Walls|Grey-Wilson. C. & Matthews. V.||3|0|A nice little book about plants for growing against walls and a small section on plants that can grow in walls.|Collins|1983|0-00-219220-0|0
220|Bamboos of Nepal|Stapleton. C.||4|1|An excelllent little booklet that looks in some detail at the native bamboos of Nepal, including looking at their uses.|The Royal Botanic Gardens, Kew|1994|0947643680|0
221|Campanulas - their cultivation and classification.|Crook. H. Clifford.||3|0|The most comprehensive treatment of the genus yet written (2002).|Country Life|1951|-|0
222|A Field Guide to Medicinal Plants. Eastern and Central N. America.|Foster. S. & Duke. J. A.||3|1|A concise book dealing with almost 500 species. A line drawing of each plant is included plus colour photographs of about 100 species. Very good as a field guide, it only gives brief details about the plants medicinal properties.|Houghton Mifflin Co.|1990|0395467225|0
223|Vegetable Tannins|Rottsieper. E.H.W.||2|0|A fairly detailed treatise on the major sources of vegetable tannins.|The Forestal Land, Timber and Railways Co. Ltd.|1946|-|0
224|Agnus Castus|Bartram. T.||3|1|A leaflet that summarizes the medicinal virtues of Vitex agnus-castus.|-||-|0
225|The New Plantsman. Volume 2, 1995.|Knees. S.||4|1|A quarterly magazine, it has articles on Coprosma species,|Royal Horticultural Society|1995|1352-4186|0
226|Identification Guide to the Trees of Canada|Lauriault. J.||4|1|Very good on identification for non-experts, the book also has a lot of information on plant uses.|Fitzhenry and Whiteside, Ontario.|1989|0889025649|0
227|Trees of North Texas|Vines. R.A.||3|0|A readable guide to the area, it contains descriptions of the plants and their habitats with quite a bit of information on plant uses.|University of Texas Press.|1982|0292780206|0
228|Flora of the Great Plains.|McGregor. R. L. & Barkley. T. M.||2|0|A useful source of habitats.|University Press of Kansas.|1986|070060295x|0
229|The Complete Trees of N. America. Field Guide and Natural History.|Elias. T.||5|0|A very good concise guide. Gives habitats, good descriptions, maps showing distribution and a few of the uses. It also includes the many shrubs that occasionally reach tree proportions.|Van Nostrand Reinhold Co.|1980|0442238622|0
230|Hardy Orchids. Orchids for the Garden and Frost-free Greenhouse.|Cribb. P. & Bailes. C.||5|1|An excellent book looking at the orchids that can be grown outdoors in temperate climates and giving lots of information on how to grow them. Very lttle information on their uses.|Christopher Helm. London.|1989|0 7470 0416 1|0
231|Palms for Cooler Climates.|McMillan-Browse. P.||4|1|An excellent little booklet on the subject, though it does not mention many plant uses.|Trebah Enterprises.|1993|0 9521952 0 8|0
232|The Complete Homeopathy Handbook.|Castro. M.||3|1|A concise beginner's guide to the subject. Very readable.|Macmillan. London.|1990|0-333-55581-3|0
233|Perennial Garden Plants|Thomas. G. S.||3|1|A concise guide to a wide range of perennials. Lots of cultivation guides, very little on plant uses.|J. M. Dent & Sons, London.|1990|0 460 86048 8|0
234|Radio 4 Farming Programme, 25/08/95.|-||1|0|An article on the potential of Coriandrum sativum as an oil crop.|-|1995|-|0
235|An Illustrated Flora of the Northern United States and Canada|Britton. N. L. Brown. A.||3|1|Reprint of a 1913 Flora, but still a very useful book.|Dover Publications. New York.|1970|0-486-22642-5|0
236|Manual of the Grasses of the United States|Hitchcock. A. S.||3|1|A nice and comprehensive flora, though a bit dated. Good line drawings of each plant, plus a brief idea of the habitat and a few notes on plant uses. Not for the casual reader.|Dover Publications. New York.|1971|0-486-22717-0|0
237|Ginkgo. Elixir of Youth.|Hobbs. C.||4|1|Looks in detail at the medicinal virtues and also mentions some of the plants other uses. The information on traditional Chinese use and modern herbal use of the plant is backed up by an extensive bibliography.|Botanica Press, California.|1994|0-9618470-3-4|0
238|Encyclopaedia of Herbs and their Uses.|Bown. D.||5|1|A very well presented and informative book on herbs from around the globe. Plenty in it for both the casual reader and the serious student. Just one main quibble is the silly way of having two separate entries for each plant.|Dorling Kindersley, London.|1995|0-7513-020-31|1
239|Gentians.|Kohlein. F.||3|0|A nice readable book, giving details of habitats and cultural needs of all the members of this genus, with brief notes on other members of the family.|Christopher Helm. London.|1991|0-88192-192-0|0
240|Glossary of Indian Medicinal Plants (Including the Supplement).|Chopra. R. N., Nayar. S. L. and Chopra. I. C.||2|1|Very terse details of medicinal uses of plants with a wide range of references and details of research into the plants chemistry. Not for the casual reader.|Council of Scientific and Industrial Research, New Delhi.|1986|-|0
241|Tibetan Medicinal Plants|Tsarong. Tsewang. J.||3|1|A nice little pocket guide to the subject with photographs of 95 species and brief comments on their uses.|Tibetan Medical Publications, India|1994|81-900489-0-2|0
242|Correspondence from Allium NCCPG collection|Davies. P.||1|1|Letter dated 21/01/97, giving additional information on Alium species.||1997||0
243|Medicinal Plants of Nepal|||3|1|Terse details of the medicinal properties of Nepalese plants, including cultivated species and a few imported herbs.|Dept. of Medicinal Plants. Nepal.|1993|-|0
244|Herbs|Phillips. R. & Foy. N.||4|1|Deals with all types of herbs including medicinal, culinary, scented and dye plants. Excellent photographs with quite good information on each plant.|Pan Books Ltd. London.|1990|0-330-30725-8|0
245|Scented Flora of the World.|Genders. R.||4|1|An excellent, comprehensive book on scented plants giving a few other plant uses and brief cultivation details. There are no illustrations.|Robert Hale. London.|1994|0-7090-5440-8|0
246|AM|Radio 4||3|0|A news item on the Radio 4 morning news programme 'AM', 15/10/97.|-|1997|-|0
247|The New Plantsman. Volume 4.|Knees. S.||3|1|A few articles of interest, especially Berberdopsis corallina and Tropaeolum species.|Royal Horticultural Society, London|1997|1352-4186|0
248|New Scientist|Anderson. A.||2|0|A short item on a couple of soil reclamation plants, Atropa belladonna and Solanum nigrum|IPC Magazines Ltd, London|1997|0262-4079|0
249|Wisterias: a comprehensive guide.|Valder. P.||4|1|Excellent information and photographs of this genus with a little bit about their uses.|Florilegium. Australia.|1995|0-646-22049-7|0
250|The Gardener's Guide to Growing Peonies.|Page. M.||3|1|A nice little book on the genus, giving information on their cultivation and a little info on plant uses.|David & Charles. Newton Abbot.|1997|0 7153 0531 X|0
251|The Gardener's Guide to Growing Hostas|Grenfell. Diana||3|1|Excellent cover of the genus, though it concentrates mainly on the cultivars and does not go much into plant uses.|David &Charles|1996|0-7153-0431-3|0
252|Scientific American August 1998|-||2|1|An interesting article on the use of halophytes as commercial food crops in dessert areas near the sea. Unfortunately lacking in detail of species used and also judges the plant's value as livestock feed rather than direct human food.|Scientific American Inc. New York|1998|0036-8733|0
253|The Garden Volume 123|Hodgson I. (Editor)||4|1|Articles on Fuchsia species, cultivars of Blackberries.|Royal Horticultural Society|1998|0308-5457|0
254|The Encyclopedia of Medicinal Plants|Chevallier. A.||4|1|An excellent guide to over 500 of the more well known medicinal herbs from around the world.|Dorling Kindersley. London|1996|9-780751-303148|0
255|Solgar New Product Information - Rhodiola Vegicaps.|Solgar Vitamins||3|1|Information sheet from Solgar Vitamins, looking at the herbal use of Rhodiola rosea.|Solgar Vitamins, Tring, Herts.|1998|-|0
256|Food Plants of Coastal First Peoples|Turner. N. J.||4|1|Excellent little handbook about the native food plants of Western Canada. Good descriptions of the plants and their uses with colour photos of most plants.|UBC Press. Vancouver.|1995|0-7748-0533-1|0
257|Native American Ethnobotany|Moerman. D.||5|1|Very comprehensive but terse guide to the native uses of plants. Excellent bibliography, fully referenced to each plant, giving a pathway to further information. Not for the casual reader.|Timber Press. Oregon.|1998|0-88192-453-9|0
258|The Garden. Volume 124. 1999.|RHS. Wisley, Surrey.||3|1|The monthly newsletter of the RHS, contains articles on Erythroniums.|RHS. Wisley, Surrey.|1999|0308 5457|0
259|Eco-Friendly House Plants.|Wolverton. B. C.||4|0|Excellent guide to pollution in the home and those plants that can help to remove the problem. Most of the plants are not hardy outdoors in the temperate zone, though a number of species can be grown outside.|Weidenfeld & Nicolson. London.|1996|0-297-83484-3|0
260|Conservatory and Indoor Plants Volumes 1 & 2|Phillips. R. & Rix. M.||4|1|Excellent photos of over 1,100 species and cultivars with habits and cultivation details plus a few plant uses. Many species are too tender for outdoors in Britain though there are many that can be grown outside.|Pan Books, London.|1998|0-330-37376-5|0
261|Legumes of Northern Eurasia|Yakovlev. G. Sytin. A. & Roskov. Yu.||4|1|For the academic only, a list of species growing in N. Eurasia with terse details on habitat, range, uses etc.|Royal Botanic gardens, Kew.|1996|0-947643-97-4|0
262|Passion Flowers|Vanderplank. J.||4|1|An excellent book on passion flowers, giving information on hardy species and how to grow the less hardy in greenhouses etc. A bit lacking at times on specific information on hardyness. Excellent photographs.|Cassell. London.|1991|0-304-34076-6|0
263|Maca.htm|Raintree Nutrition Inc.||4|1|Web site giving lots of info on Lepidium meyenii.||1999||0
264|Vegetables|Phillips. R. & Rix. M.||4|1|Excellent and easily read book with good information and an excellent collection of photos of vegetables from around the world, including many unusual species.|Macmillan Reference Books, London.|1995|0 333 62640 0|0
265|Flora of the Sydney Region|Carolin. R. & Tindale. M.||3|1|Concise flora with little beyond an extensive key, species descriptions, very brief habitat description.|Reed. Australia.|1993|0730104001|0
266|Flora of China||http://flora.huh.harvard.edu/china/|4|0|On-line version of the Flora - an excellent resource giving basic info on habitat and some uses.||1994||0
267|Bamboos of Bhutan|Stapleton. C.||4|1|Excellent little booklet about the bamboos growing wild and cultivated for food, raw materials etc in Bhutan. Very good guide to identification.|Royal Botanic Gardens, Kew.|1994|0-947643-67-2|0
268|The Encyclopedia of Herbs and Herbalism|Stuart. M. (Editor)||4|1|Excellent herbal with good concise information on over 400 herbs.|Orbis Publishing. London.|1979|0-85613-067-2|0
269|Handbook of Energy Crops|Duke. J.||5|1|Published only on the Internet, excellent information on a wide range of plants.|-|1983|-|0
270|Flora of N. America||http://flora.huh.harvard.edu/fna/|5|0|An on-line version of the flora with an excellent description of the plant including a brief mention of plant uses.||0||0
271|Campanulas - A Gardener's Guide.|Lewis. P. & Lynch. M.||4|1|Very readable account of almost 150 members of the genus, together with their hybrids and cultivars, that are more commonly grown in gardens. Excellent photographs of many of the species.|B. T. Batsford. London.|1998|0-7134-8266-4|0
272|Plants and People of Nepal|Manandhar. N. P.||5|1|Excellent book, covering over 1,500 species of useful plants from Nepal together with information on the geography and peoples of Nepal. Good descriptions of the plants with terse notes on their uses.|Timber Press. Oregon.|2002|0-88192-527-6|0
273|Clematis - The Genus|Grey-Wilson. C.||5|1|An excellent and well illustrated concise guide to all the known specis of Clematis.|B. T. Batsford. London.|2000|0-7134-7659-1|0
274|Illustrated Flora of North Central Texas|Diggs, Jnr. G.M.; Lipscomb. B. L. & O'Kennon. R. J|http://artemis.austincollege.edu/acad/bio/gdiggs/NCTXpdf.htm|4|1|An excellent flora, which is also available on-line.|Botanical Research Institute, Texas.|1999|1-889878-01-4|0
275|Flora of Japan||www.foj.info|4|0|An on-line version of the flora - an excellent resource.||0||0
276|Flora of California||www.calflora.org|3|0|An on-line database of the Californian flora, giving details on plant habitats and photos of the plants.||0||0
277|Plants Database||http://plants.usda.gov|5|1|An online database with an excellent collection of fact sheets about native N. American plants.|United States Department of Agriculture|0||0
278|Wattleseed|Lister. P.|www.uws.edu.au/vip/listerp/wattle.htm|3|1|A very interesting article on the internet about the Aboriginal uses of the Genus Acacia in Australia.||0||0
279|Medicinal Plants in the Republic of Korea|||4|1|An excellent book with terse details about the medicinal uses of the plants with references to scientific trials. All plants are described, illustrated and brief details of habitats given.|World Health Organisation, Manila|1998|92 9061 120 0|0
